Marca,Potencia,Tipo de vehículo,Año,Km,Tipo Gasolina,Ubicación,Precio
MERCEDES-BENZ Clase A,180,Compacto,2023,17409,Diésel,Granada,34500
MERCEDES-BENZ Clase A,200,,2023,15900,Diésel,Valencia,33890
MERCEDES-BENZ Clase A,180,Compacto,2023,14137,Gasolina,Murcia,34500
MERCEDES-BENZ Clase A,200,,2022,27959,Gasolina,Barcelona,32500
MERCEDES-BENZ Clase A,180,Compacto,2022,11870,Diésel,Murcia,32500
MERCEDES-BENZ Clase A,200,,2024,5,Diésel,Murcia,43500
MERCEDES-BENZ Clase A,200,Compacto,2023,12037,Diésel,Murcia,34900
MERCEDES-BENZ Clase A,180,,2015,132442,Diésel,Vizcaya,17700
MERCEDES-BENZ Clase A,150,,2023,11850,Diésel,Barcelona,34900
MERCEDES-BENZ Clase A,180,,2023,9900,Diésel,Toledo,33900
MERCEDES-BENZ Clase A,250,,2023,9000,Gasolina,Cáceres,38900
MERCEDES-BENZ Clase A,200,,2016,100500,Diésel,Málaga,21950
MERCEDES-BENZ Clase A,180,,2015,142717,Diésel,Vizcaya,16990
MERCEDES-BENZ Clase A,200,Sedán,2023,31525,Gasolina,Madrid,35400
MERCEDES-BENZ Clase A,200,,2023,10500,Diésel,Zaragoza,36900
MERCEDES-BENZ Clase A,180,,2020,82378,Diésel,Castellón,24900
MERCEDES-BENZ Clase A,180,,2023,7000,Diésel,Valencia,32900
MERCEDES-BENZ Clase A,250,,2022,62515,Híbrido,Girona,36700
MERCEDES-BENZ Clase A,200,,2024,10,Gasolina,Granada,47900
MERCEDES-BENZ Clase A,200,,2020,49149,Diésel,Pontevedra,27990
MERCEDES-BENZ Clase A,180,,2020,75000,Diésel,Barcelona,28990
MERCEDES-BENZ Clase A,200,,2023,14458,Diésel,Granada,36900
MERCEDES-BENZ Clase A,200,Compacto,2024,22700,Diésel,Alicante,37900
MERCEDES-BENZ Clase A,180,,2019,103879,Diésel,Madrid,19490
MERCEDES-BENZ Clase A,180,Sedán,2023,19600,Gasolina,Jaén,32900
MERCEDES-BENZ Clase A,200,,2023,30588,Diésel,La Rioja,32900
MERCEDES-BENZ Clase A,180,,2020,89000,Diésel,Albacete,24990
MERCEDES-BENZ Clase A,250,,2022,19500,Híbrido Enchufable,Barcelona,34490
MERCEDES-BENZ Clase A,200,Compacto,2024,12552,Diésel,Córdoba,35100
MERCEDES-BENZ Clase A,200,,2023,12703,Diésel,Salamanca,41900
MERCEDES-BENZ Clase A,200,Compacto,2023,28834,Gasolina,Granada,35500
MERCEDES-BENZ Clase A,180,Compacto,2023,10807,Diésel,Murcia,33900
MERCEDES-BENZ Clase A,250,,2024,100,Híbrido,Málaga,56900
MERCEDES-BENZ Clase A,180,,2019,57000,Gasolina,Barcelona,28790
MERCEDES-BENZ Clase A,180,,2023,11850,Diésel,La Rioja,33900
MERCEDES-BENZ Clase A,180,,2019,105000,Diésel,Málaga,27900
MERCEDES-BENZ Clase A,180,,2018,155000,Diésel,Barcelona,20900
MERCEDES-BENZ Clase A,200,,2020,43560,Diésel,Badajoz,27790
MERCEDES-BENZ Clase A,100,,2016,93500,Diésel,Madrid,20490
MERCEDES-BENZ Clase A,250,,2021,18739,Híbrido Enchufable,Barcelona,34990
MERCEDES-BENZ Clase A,220,,2019,62048,Gasolina,Granada,32900
MERCEDES-BENZ Clase A,250,Compacto,2023,7709,Híbrido,Toledo,38800
MERCEDES-BENZ Clase A,200,Compacto,2023,19381,Diésel,Murcia,34900
MERCEDES-BENZ Clase A,200,Compacto,2023,22785,Gasolina,Granada,35900
MERCEDES-BENZ Clase A,200,Compacto,2023,23426,Diésel,Murcia,34900
MERCEDES-BENZ Clase A,180,,2023,6866,Diésel,Girona,34500
MERCEDES-BENZ Clase A,180,,2013,89048,Diésel,Guipúzcoa,15800
MERCEDES-BENZ Clase A,180,,2015,121433,Diésel,Badajoz,17995
MERCEDES-BENZ Clase A,180,,2023,14900,Diésel,Alicante,33800
MERCEDES-BENZ Clase A,200,,2023,10497,Diésel,Málaga,33900
MERCEDES-BENZ Clase A,180,,2014,198000,Diésel,Barcelona,16500
MERCEDES-BENZ Clase A,180,,2024,5000,Gasolina,Málaga,42900
MERCEDES-BENZ Clase A,250,,2022,20337,Híbrido,Badajoz,35900
MERCEDES-BENZ Clase A,180,,2023,25946,Diésel,Murcia,33900
MERCEDES-BENZ Clase A,180,,2022,18487,Diésel,Madrid,34500
MERCEDES-BENZ Clase A,200,Sedán,2023,16694,Diésel,Zaragoza,37900
MERCEDES-BENZ Clase A,180,,2018,117000,Diésel,Madrid,22990
MERCEDES-BENZ Clase A,180,,2023,14275,Diésel,Murcia,32900
MERCEDES-BENZ Clase A,180,,2014,124006,Diésel,Vizcaya,14990
MERCEDES-BENZ Clase A,250,Sedán,2021,31120,Híbrido Enchufable,Castellón,36490
MERCEDES-BENZ Clase A,250,Compacto,2023,7709,Híbrido,Alicante,38800
MERCEDES-BENZ Clase A,200,,2023,28002,Diésel,Badajoz,35900
MERCEDES-BENZ Clase A,180,,2023,6967,Diésel,Badajoz,32900
MERCEDES-BENZ Clase A,180,Sedán,2023,17500,Diésel,Sevilla,36490
MERCEDES-BENZ Clase A,180,Sedán,2020,45170,Diésel,Cádiz,24390
MERCEDES-BENZ Clase A,200,Compacto,2024,12552,Diésel,Madrid,35100
MERCEDES-BENZ Clase A,200,,2016,133000,Diésel,Granada,18900
MERCEDES-BENZ Clase A,200,,2023,9164,Diésel,Girona,34500
MERCEDES-BENZ Clase A,250,,2023,7667,Híbrido Enchufable,Barcelona,38800
MERCEDES-BENZ Clase A,200,,2023,18274,Diésel,Barcelona,34900
MERCEDES-BENZ Clase A,200,,2013,96959,Gasolina,Ciudad Real,17450
MERCEDES-BENZ Clase A,250,,2023,7828,Híbrido Enchufable,Barcelona,38800
MERCEDES-BENZ Clase A,200,,2017,121623,Diésel,Madrid,21990
MERCEDES-BENZ Clase A,250,,2024,100,Híbrido,Málaga,44900
MERCEDES-BENZ Clase A,200,,2019,18000,Gasolina,Alicante,44990
MERCEDES-BENZ Clase A,180,Compacto,2023,15769,Diésel,Murcia,33900
MERCEDES-BENZ Clase A,220,,2016,155681,Diésel,Madrid,20950
MERCEDES-BENZ Clase A,200,,2023,18000,Diésel,Madrid,39900
MERCEDES-BENZ Clase A,250,,2021,17632,Híbrido Enchufable,Barcelona,32000
MERCEDES-BENZ Clase A,250,,2024,5000,Híbrido,Málaga,44900
MERCEDES-BENZ Clase A,180,Sedán,2023,13178,Gasolina,Almería,35900
MERCEDES-BENZ Clase A,250,,2023,8481,Híbrido,Zaragoza,37900
MERCEDES-BENZ Clase A,180,,2015,172000,Diésel,Girona,13750
MERCEDES-BENZ Clase A,180,Compacto,2022,15242,Diésel,Murcia,31900
MERCEDES-BENZ Clase A,180,,2023,27295,Diésel,Almería,34900
MERCEDES-BENZ Clase A,180,Compacto,2023,13900,Diésel,Toledo,33900
MERCEDES-BENZ Clase A,200,,2017,92804,Diésel,Vizcaya,22500
MERCEDES-BENZ Clase A,200,,2019,65000,Gasolina,La Coruña,29500
MERCEDES-BENZ Clase A,180,,2023,8208,Diésel,Girona,34500
MERCEDES-BENZ Clase A,180,,2019,93000,Diésel,Castellón,24490
MERCEDES-BENZ Clase A,200,,2024,12674,Diésel,Badajoz,35900
MERCEDES-BENZ Clase A,250,,2023,9702,Híbrido,Badajoz,38900
MERCEDES-BENZ Clase A,200,Compacto,2023,22420,Diésel,Murcia,34900
MERCEDES-BENZ Clase A,200,,2023,29131,Diésel,Murcia,36500
MERCEDES-BENZ Clase A,200,,2022,11900,Diésel,Cádiz,35500
MERCEDES-BENZ Clase A,200,,2017,108000,Diésel,La Coruña,21500
MERCEDES-BENZ Clase A,180,Compacto,2024,10200,Diésel,Toledo,37500
MERCEDES-BENZ Clase A,200,,2019,74000,Diésel,Granada,22500
MERCEDES-BENZ Clase A,200,,2019,75388,Diésel,Pontevedra,25800
MERCEDES-BENZ Clase A,180,,2018,119900,Diésel,Málaga,21900
MERCEDES-BENZ Clase A,180,,2019,78497,Gasolina,Madrid,23450
MERCEDES-BENZ Clase A,180,,2019,85000,Diésel,Madrid,25990
MERCEDES-BENZ Clase A,200,,2019,87000,Diésel,Madrid,31400
MERCEDES-BENZ Clase A,200,,2023,4791,Diésel,Badajoz,35900
MERCEDES-BENZ Clase A,180,Compacto,2023,14200,Diésel,Toledo,33900
MERCEDES-BENZ Clase A,200,,2023,8999,Diésel,Girona,37900
MERCEDES-BENZ Clase A,200,,2023,23990,Diésel,Badajoz,35900
MERCEDES-BENZ Clase A,180,Compacto,2023,14900,Diésel,Toledo,33900
MERCEDES-BENZ Clase A,200,,2019,67343,Diésel,Vizcaya,25790
MERCEDES-BENZ Clase A,200,,2021,80000,Gasolina,La Coruña,31900
MERCEDES-BENZ Clase A,250,,2023,6115,Híbrido Enchufable,Barcelona,37900
MERCEDES-BENZ Clase A,200,,2024,4597,Diésel,Girona,37500
MERCEDES-BENZ Clase A,200,,2019,90700,Diésel,Granada,27500
MERCEDES-BENZ Clase A,200,,2004,100350,Gasolina,Girona,5866
MERCEDES-BENZ Clase A,200,,2020,69000,Diésel,Málaga,26900
MERCEDES-BENZ Clase A,200,,2016,41774,Diésel,Granada,25500
MERCEDES-BENZ Clase A,180,,2023,14900,Diésel,Toledo,33800
MERCEDES-BENZ Clase A,180,,2020,87000,Diésel,Cádiz,27990
MERCEDES-BENZ Clase A,250,,2021,71000,Gasolina,Murcia,30900
MERCEDES-BENZ Clase A,421,,2023,8118,Gasolina,Islas Baleares,62900
MERCEDES-BENZ Clase A,200,,2023,40500,Diésel,La Coruña,35500
MERCEDES-BENZ Clase A,200,,2021,72225,Diésel,Madrid,31750
MERCEDES-BENZ Clase A,180,Sedán,2019,109115,Diésel,Valladolid,21900
MERCEDES-BENZ Clase A,180,,2023,9121,Diésel,Alicante,33900
MERCEDES-BENZ Clase A,200,,2015,53545,Diésel,Vizcaya,20990
MERCEDES-BENZ Clase A,200,,2023,16868,Diésel,Madrid,36400
MERCEDES-BENZ Clase A,180,Compacto,2024,1,Diésel,Murcia,39500
MERCEDES-BENZ Clase A,160,,2008,250000,Diésel,Valencia,4990
MERCEDES-BENZ Clase A,180,Compacto,2023,26900,Diésel,Toledo,33500
MERCEDES-BENZ Clase A,200,,2024,7,Diésel,La Rioja,39900
MERCEDES-BENZ Clase A,200,,2023,16084,Diésel,Murcia,34900
MERCEDES-BENZ Clase A,180,,2020,37400,Gasolina,La Coruña,31900
MERCEDES-BENZ Clase A,180,Compacto,2023,6632,Diésel,Córdoba,31900
MERCEDES-BENZ Clase A,150,,2020,40412,Diésel,Islas Baleares,29500
MERCEDES-BENZ Clase A,200,Compacto,2022,20209,Diésel,Murcia,32900
MERCEDES-BENZ Clase A,200,,2023,8204,Diésel,Zaragoza,36900
MERCEDES-BENZ Clase A,250,,2023,7500,Híbrido Enchufable,Barcelona,38800
MERCEDES-BENZ Clase A,180,Compacto,2023,10900,Diésel,Toledo,33900
MERCEDES-BENZ Clase A,250,,2022,20750,Híbrido Enchufable,Zaragoza,38900
MERCEDES-BENZ Clase A,180,Compacto,2022,20679,Diésel,Murcia,33900
MERCEDES-BENZ Clase A,180,,2020,70990,Diésel,Castellón,26490
MERCEDES-BENZ Clase A,250,,2022,17851,Híbrido,La Rioja,34900
MERCEDES-BENZ Clase A,180,,2019,175000,Diésel,Barcelona,21900
MERCEDES-BENZ Clase A,200,Sedán,2023,19500,Híbrido,Zaragoza,37900
MERCEDES-BENZ Clase A,180,,2021,27683,Diésel,Cádiz,29490
MERCEDES-BENZ Clase A,180,,2014,70024,Diésel,Vizcaya,16300
MERCEDES-BENZ Clase A,180,Compacto,2023,19959,Diésel,Murcia,33900
MERCEDES-BENZ Clase A,180,Compacto,2023,13900,Diésel,Toledo,33900
MERCEDES-BENZ Clase A,200,,2020,76687,Gasolina,Barcelona,26900
MERCEDES-BENZ Clase A,250,,2020,165000,Gasolina,Madrid,30990
MERCEDES-BENZ Clase A,250,Sedán,2020,33373,Híbrido,La Coruña,30500
MERCEDES-BENZ Clase A,250,,2022,29783,Híbrido Enchufable,Málaga,32880
MERCEDES-BENZ Clase A,200,,2023,74940,Diésel,Madrid,34500
MERCEDES-BENZ Clase A,200,,2018,153200,Diésel,Madrid,21500
MERCEDES-BENZ Clase A,200,Compacto,2024,6,Diésel,Murcia,39000
MERCEDES-BENZ Clase A,180,,2023,30029,Híbrido,Granada,32990
MERCEDES-BENZ Clase A,180,,2023,5700,Diésel,Madrid,39500
MERCEDES-BENZ Clase A,180,,2019,91000,Diésel,Islas Baleares,24900
MERCEDES-BENZ Clase A,180,,2023,15176,Diésel,Granada,32990
MERCEDES-BENZ Clase A,200,,2023,13281,Diésel,La Rioja,34900
MERCEDES-BENZ Clase A,180,Compacto,2021,38828,Diésel,Murcia,31900
MERCEDES-BENZ Clase A,180,,2023,11753,Diésel,La Rioja,31900
MERCEDES-BENZ Clase A,200,,2016,224350,Diésel,Alicante,15000
MERCEDES-BENZ Clase A,200,,2020,69612,Diésel,Lugo,29900
MERCEDES-BENZ Clase A,180,,2021,80639,Diésel,Madrid,28500
MERCEDES-BENZ Clase A,200,,2019,63200,Gasolina,Sevilla,28490
MERCEDES-BENZ Clase A,250,,2022,51990,Híbrido Enchufable,Madrid,33400
MERCEDES-BENZ Clase A,250,,2020,72000,Híbrido,Madrid,26990
MERCEDES-BENZ Clase A,200,,2023,10965,Diésel,Murcia,36900
MERCEDES-BENZ Clase A,200,,2019,49000,Gasolina,Barcelona,28790
MERCEDES-BENZ Clase A,200,,2018,61049,Diésel,Jaén,20990
MERCEDES-BENZ Clase A,200,,2016,114701,Diésel,Vizcaya,20950
MERCEDES-BENZ Clase A,180,,2013,131000,Diésel,Madrid,14390
MERCEDES-BENZ Clase A,250,Sedán,2024,26592,Híbrido,Madrid,35990
MERCEDES-BENZ Clase A,200,,2022,34540,Gasolina,Barcelona,33999
MERCEDES-BENZ Clase A,200,,2023,20171,Diésel,Granada,32990
MERCEDES-BENZ Clase A,180,,2021,91500,Diésel,Zaragoza,28900
MERCEDES-BENZ Clase A,200,Compacto,2023,21930,Diésel,Murcia,34900
MERCEDES-BENZ Clase A,250,Compacto,2023,15900,Híbrido,Toledo,38800
MERCEDES-BENZ Clase A,200,Compacto,2024,5,Diésel,Murcia,41300
MERCEDES-BENZ Clase A,200,,2019,29542,Diésel,Madrid,29350
MERCEDES-BENZ Clase A,180,,2019,55000,Diésel,Valencia,25990
MERCEDES-BENZ Clase A,180,,2020,80000,Diésel,Sevilla,27990
MERCEDES-BENZ Clase A,180,Compacto,2021,48780,Diésel,Murcia,29900
MERCEDES-BENZ Clase A,250,,2023,14968,Híbrido Enchufable,Barcelona,38800
MERCEDES-BENZ Clase A,200,,2015,110800,Diésel,Madrid,19990
MERCEDES-BENZ Clase A,200,,2018,70885,Gasolina,Barcelona,25900
MERCEDES-BENZ Clase A,180,,2019,94059,Diésel,Sevilla,25490
MERCEDES-BENZ Clase A,180,,2022,36500,Gasolina,Málaga,27250
MERCEDES-BENZ Clase A,180,,2019,84501,Diésel,Málaga,21990
MERCEDES-BENZ Clase A,250,,2020,29700,Híbrido,Zaragoza,32900
MERCEDES-BENZ Clase A,180,,2020,98185,Diésel,Cádiz,25900
MERCEDES-BENZ Clase A,250,,2022,46050,Diésel,Navarra,31900
MERCEDES-BENZ Clase A,200,Compacto,2023,21659,Diésel,Murcia,36500
MERCEDES-BENZ Clase A,180,,2011,148315,Diésel,Málaga,8800
MERCEDES-BENZ Clase A,180,,2011,148315,Diésel,Málaga,8800
MERCEDES-BENZ Clase A,180,,2020,58003,Diésel,Málaga,25499
MERCEDES-BENZ Clase A,200,,2023,23139,Diésel,Badajoz,34900
MERCEDES-BENZ Clase A,200,,2018,125136,Diésel,Vizcaya,21900
MERCEDES-BENZ Clase A,180,Compacto,2023,17900,Diésel,Toledo,33400
MERCEDES-BENZ Clase A,200,,2015,118000,Diésel,Alicante,19950
MERCEDES-BENZ Clase A,200,,2021,22210,Diésel,Vizcaya,32990
MERCEDES-BENZ Clase A,180,,2020,62361,Diésel,Vizcaya,25390
MERCEDES-BENZ Clase A,180,,2023,10791,Diésel,Toledo,33900
MERCEDES-BENZ Clase A,180,,2021,45591,Diésel,Asturias,31900
MERCEDES-BENZ Clase A,200,,2015,82200,Gasolina,Asturias,23900
MERCEDES-BENZ Clase A,200,Compacto,2024,22700,Diésel,Toledo,37900
MERCEDES-BENZ Clase A,180,,2019,109990,Diésel,Navarra,20990
MERCEDES-BENZ Clase A,180,,2018,177617,Diésel,Castellón,22500
MERCEDES-BENZ Clase A,180,,2014,121936,Diésel,Vizcaya,15200
MERCEDES-BENZ Clase A,200,,2023,11601,Diésel,Madrid,35900
MERCEDES-BENZ Clase A,200,,2023,27748,Diésel,Jaén,34480
MERCEDES-BENZ Clase A,200,,2020,83000,Diésel,Málaga,26900
MERCEDES-BENZ Clase A,180,,2021,46000,Diésel,Cádiz,32990
MERCEDES-BENZ Clase A,180,Compacto,2021,35202,Diésel,Madrid,31900
MERCEDES-BENZ Clase A,250,,2022,21650,Híbrido,Zaragoza,37900
MERCEDES-BENZ Clase A,200,,2023,13264,Diésel,Sevilla,32990
MERCEDES-BENZ Clase A,180,,2021,72774,Diésel,Valencia,26495
MERCEDES-BENZ Clase A,116,,2019,290000,Diésel,Alicante,17499
MERCEDES-BENZ Clase A,180,,2015,126500,Diésel,Madrid,18190
MERCEDES-BENZ Clase A,200,Compacto,2023,17541,Diésel,Murcia,36500
MERCEDES-BENZ Clase A,180,,2019,118954,Diésel,Girona,23700
MERCEDES-BENZ Clase A,250,,2023,3000,Híbrido,Sevilla,35990
MERCEDES-BENZ Clase A,136,,2023,5726,Híbrido,Islas Baleares,34900
MERCEDES-BENZ Clase A,180,,2020,102000,Diésel,Jaén,23799
MERCEDES-BENZ Clase A,200,,2022,65924,Diésel,Zaragoza,31990
MERCEDES-BENZ Clase A,200,,2018,108051,Diésel,Vizcaya,22490
MERCEDES-BENZ Clase A,200,,2015,137837,Diésel,Vizcaya,17200
MERCEDES-BENZ Clase A,200,,2019,86000,Diésel,Lugo,29900
MERCEDES-BENZ Clase A,180,Compacto,2023,15464,Diésel,Murcia,32900
MERCEDES-BENZ Clase A,200,,2016,125000,Diésel,Islas Baleares,14950
MERCEDES-BENZ Clase A,200,,2016,66000,Diésel,Asturias,23500
MERCEDES-BENZ Clase A,180,,2018,109141,Diésel,Barcelona,23900
MERCEDES-BENZ Clase A,116,,2019,74000,Diésel,Valencia,26900
MERCEDES-BENZ Clase A,180,Sedán,2023,20680,Híbrido,Sevilla,32490
MERCEDES-BENZ Clase A,180,,2020,52687,Diésel,Sevilla,23990
MERCEDES-BENZ Clase A,200,,2018,149000,Diésel,Barcelona,21950
MERCEDES-BENZ Clase A,200,,2015,165000,Diésel,Málaga,17999
MERCEDES-BENZ Clase A,180,,2021,50000,Diésel,Barcelona,27500
MERCEDES-BENZ Clase A,180,,2022,15254,Diésel,Valencia,30995
MERCEDES-BENZ Clase A,250,,2023,14500,Híbrido,La Rioja,36900
MERCEDES-BENZ Clase A,250,Sedán,2020,36482,Híbrido,Cádiz,32900
MERCEDES-BENZ Clase A,180,,2013,131000,Diésel,Madrid,14390
MERCEDES-BENZ Clase A,180,,2022,19990,Gasolina,Zaragoza,29490
MERCEDES-BENZ Clase A,200,,2020,98024,Gasolina,Madrid,27490
MERCEDES-BENZ Clase A,250,,2019,25000,Gasolina,Valencia,34990
MERCEDES-BENZ Clase A,200,,2023,900,Diésel,Sevilla,35990
MERCEDES-BENZ Clase A,200,Sedán,2020,39963,Diésel,Lugo,34500
MERCEDES-BENZ Clase A,200,,2015,180000,Diésel,Barcelona,16850
MERCEDES-BENZ Clase A,200,,2023,19000,Diésel,Lugo,38900
MERCEDES-BENZ Clase A,180,,2017,124014,Diésel,Málaga,18390
MERCEDES-BENZ Clase A,200,,2024,5320,Diésel,Badajoz,35900
MERCEDES-BENZ Clase A,180,,2023,12773,Gasolina,La Rioja,33900
MERCEDES-BENZ Clase A,180,Compacto,2023,14809,Diésel,Toledo,33600
MERCEDES-BENZ Clase A,180,Sedán,2019,82000,Gasolina,La Coruña,25700
MERCEDES-BENZ Clase A,200,,2018,48287,Diésel,Madrid,22099
MERCEDES-BENZ Clase A,250,,2023,3000,Híbrido,Badajoz,43900
MERCEDES-BENZ Clase A,200,,2020,92663,Diésel,Granada,29990
MERCEDES-BENZ Clase A,200,,2024,5269,Diésel,Barcelona,37900
MERCEDES-BENZ Clase A,200,,2020,85000,Gasolina,Madrid,27999
MERCEDES-BENZ Clase A,180,,2023,18800,Gasolina,Navarra,34900
MERCEDES-BENZ Clase A,163,,2023,3719,Híbrido,Islas Baleares,39900
MERCEDES-BENZ Clase A,180,,2019,89041,Diésel,Jaén,21990
MERCEDES-BENZ Clase A,200,,2020,75000,Diésel,Valencia,31900
MERCEDES-BENZ Clase A,180,,2015,108000,Diésel,Málaga,17900
MERCEDES-BENZ Clase A,200,,2017,150584,Diésel,Barcelona,17099
MERCEDES-BENZ Clase A,200,,2024,9000,Diésel,Barcelona,36400
MERCEDES-BENZ Clase A,200,Sedán,2022,24592,Diésel,Ciudad Real,32990
MERCEDES-BENZ Clase A,250,,2023,9000,Híbrido,Sevilla,39990
MERCEDES-BENZ Clase A,250,,2020,118150,Híbrido Enchufable,Madrid,25200
MERCEDES-BENZ Clase A,180,,2019,37386,Diésel,Madrid,24500
MERCEDES-BENZ Clase A,180,,2017,73643,Gasolina,Madrid,20099
MERCEDES-BENZ Clase A,180,,2019,93837,Diésel,Madrid,22999
MERCEDES-BENZ Clase A,200,Sedán,2023,17810,Diésel,Zaragoza,37900
MERCEDES-BENZ Clase A,200,,2024,800,Diésel,Sevilla,39900
MERCEDES-BENZ Clase A,160,,2008,111000,Diésel,Madrid,6990
MERCEDES-BENZ Clase A,200,,2018,84670,Diésel,Sevilla,19990
MERCEDES-BENZ Clase A,116,,2020,31545,Diésel,Islas Baleares,29500
MERCEDES-BENZ Clase A,180,,2015,130511,Diésel,Vizcaya,14890
MERCEDES-BENZ Clase A,200,,2020,40000,Diésel,Asturias,31500
MERCEDES-BENZ Clase A,200,,2020,40000,Diésel,Asturias,31500
MERCEDES-BENZ Clase A,180,,2022,22951,Diésel,Cádiz,31900
MERCEDES-BENZ Clase A,200,,2020,51302,Gasolina,Barcelona,27399
MERCEDES-BENZ Clase A,180,Sedán,2023,16547,Híbrido,Sevilla,32490
MERCEDES-BENZ Clase A,220,,2013,147509,Diésel,Albacete,20990
MERCEDES-BENZ Clase A,180,,2023,22675,Diésel,Jaén,32990
MERCEDES-BENZ Clase A,200,,2023,17600,Diésel,Pontevedra,35500
MERCEDES-BENZ Clase A,200,,2020,64636,Diésel,Barcelona,28599
MERCEDES-BENZ Clase A,180,,2022,44256,Gasolina,Barcelona,29599
MERCEDES-BENZ Clase A,200,,2022,42286,Diésel,Cádiz,31900
MERCEDES-BENZ Clase A,150,,2021,59000,Diésel,Sevilla,30750
MERCEDES-BENZ Clase A,200,,2023,13602,Diésel,Jaén,34490
MERCEDES-BENZ Clase A,200,,2017,76912,Diésel,Valencia,20300
MERCEDES-BENZ Clase A,250,Sedán,2023,12712,Híbrido,Madrid,33990
MERCEDES-BENZ Clase A,200,,2013,214000,Diésel,Valencia,16400
MERCEDES-BENZ Clase A,180,,2019,46250,Diésel,Córdoba,25490
MERCEDES-BENZ Clase A,250,,2023,5737,Híbrido,Cádiz,36900
MERCEDES-BENZ Clase A,180,,2022,12230,Diésel,Barcelona,31495
MERCEDES-BENZ Clase A,180,,2023,10604,Diésel,Barcelona,33995
MERCEDES-BENZ Clase A,160,,2011,140890,Gasolina,Cantabria,8400
MERCEDES-BENZ Clase A,180,,2023,10716,Diésel,Cádiz,31900
MERCEDES-BENZ Clase A,200,,2023,900,Diésel,Madrid,35990
MERCEDES-BENZ Clase A,200,,2018,46000,Gasolina,Barcelona,27990
MERCEDES-BENZ Clase A,116,,2022,19345,Diésel,Islas Baleares,36500
MERCEDES-BENZ Clase A,180,,2022,90864,Diésel,Sevilla,31900
MERCEDES-BENZ Clase A,180,,2006,238000,Diésel,Madrid,4990
MERCEDES-BENZ Clase A,200,,2020,176000,Diésel,Barcelona,23499
MERCEDES-BENZ Clase A,180,,2019,54998,Diésel,Sevilla,23490
MERCEDES-BENZ Clase A,180,,2023,28334,Híbrido,Jaén,33990
MERCEDES-BENZ Clase A,180,,2020,129000,Diésel,Toledo,24950
MERCEDES-BENZ Clase A,180,,2019,99000,Diésel,Cádiz,23900
MERCEDES-BENZ Clase A,250,,2023,25000,Híbrido,Cádiz,42900
MERCEDES-BENZ Clase A,200,,2023,9604,Diésel,Madrid,33450
MERCEDES-BENZ Clase A,180,,2019,65166,Diésel,Vizcaya,23490
MERCEDES-BENZ Clase A,250,,2020,78000,Híbrido Enchufable,Valencia,28900
MERCEDES-BENZ Clase A,200,,2023,9897,Diésel,Barcelona,36695
MERCEDES-BENZ Clase A,200,,2016,188000,Diésel,Lugo,15000
MERCEDES-BENZ Clase A,180,Sedán,2023,19656,Híbrido,Granada,34990
MERCEDES-BENZ Clase A,250,Sedán,2021,48000,Híbrido,Sevilla,29500
MERCEDES-BENZ Clase A,163,,2022,48913,Gasolina,Islas Baleares,35500
MERCEDES-BENZ Clase A,180,,2023,5334,Diésel,Barcelona,36695
MERCEDES-BENZ Clase A,180,,2020,59690,Diésel,Castellón,25990
MERCEDES-BENZ Clase A,250,,2020,69205,Híbrido,Madrid,27990
MERCEDES-BENZ Clase A,218,,2020,21348,Híbrido,Sevilla,28600
MERCEDES-BENZ Clase A,180,,2019,90623,Diésel,Madrid,23990
MERCEDES-BENZ Clase A,200,,2020,51302,Gasolina,Madrid,27399
MERCEDES-BENZ Clase A,180,,2023,8903,Diésel,Vizcaya,33990
MERCEDES-BENZ Clase A,180,,2019,77690,Diésel,Girona,25600
MERCEDES-BENZ Clase A,200,,2018,70000,Diésel,Vizcaya,24490
MERCEDES-BENZ Clase A,180,,2019,87000,Diésel,Castellón,24490
MERCEDES-BENZ Clase A,250,,2019,19000,Gasolina,Pontevedra,36490
MERCEDES-BENZ Clase A,250,Compacto,2022,20142,Gasolina,Islas Baleares,39500
MERCEDES-BENZ Clase A,200,,2018,48287,Diésel,Barcelona,22399
MERCEDES-BENZ Clase A,180,,2019,87392,Diésel,Sevilla,22990
MERCEDES-BENZ Clase A,163,,2022,46100,Gasolina,Valencia,31900
MERCEDES-BENZ Clase A,200,,2020,49000,Gasolina,Barcelona,27000
MERCEDES-BENZ Clase A,250,,2023,10000,Híbrido,Cádiz,38900
MERCEDES-BENZ Clase A,180,,2022,44256,Gasolina,Madrid,29599
MERCEDES-BENZ Clase A,200,,2023,40000,Diésel,Pontevedra,38990
MERCEDES-BENZ Clase A,200,,2014,177000,Diésel,Madrid,14690
MERCEDES-BENZ Clase A,180,,2024,3500,Diésel,Toledo,37500
MERCEDES-BENZ Clase A,180,Compacto,2023,23584,Diésel,Toledo,32900
MERCEDES-BENZ Clase A,200,,2018,71218,Gasolina,Madrid,24499
MERCEDES-BENZ Clase A,200,,2018,49793,Diésel,Madrid,21699
MERCEDES-BENZ Clase A,250,,2017,43000,Gasolina,Madrid,23190
MERCEDES-BENZ Clase A,180,,2022,36273,Gasolina,Orense,29450
MERCEDES-BENZ Clase A,180,,2015,153000,Diésel,Asturias,14990
MERCEDES-BENZ Clase A,200,Sedán,2022,62508,Diésel,Zaragoza,33900
MERCEDES-BENZ Clase A,180,,2020,36000,Diésel,Navarra,26990
MERCEDES-BENZ Clase A,180,,2018,75000,Diésel,Cádiz,22500
MERCEDES-BENZ Clase A,200,,2017,256000,Diésel,Girona,14990
