Marca,Potencia,Tipo de vehículo,Año,Km,Tipo Gasolina,Ubicación,Precio
MERCEDES-BENZ Clase A,200,,2021,83424,Diésel,Madrid,26990
MERCEDES-BENZ Clase A,200,,2020,28664,Gasolina,Zaragoza,33900
MERCEDES-BENZ Clase A,180,,2019,73000,Diésel,Sevilla,23500
MERCEDES-BENZ Clase A,180,,2018,119000,Diésel,Madrid,18990
MERCEDES-BENZ Clase A,250,,2021,142000,Híbrido Enchufable,Madrid,22250
MERCEDES-BENZ Clase A,180,,2022,30000,Gasolina,Valencia,29490
MERCEDES-BENZ Clase A,180,,2018,40000,Gasolina,Barcelona,21990
MERCEDES-BENZ Clase A,250,,2020,95000,Híbrido Enchufable,Madrid,24999
MERCEDES-BENZ Clase A,250,,2020,38250,Híbrido Enchufable,Valencia,28990
MERCEDES-BENZ Clase A,160,,2009,130000,Diésel,Madrid,7900
MERCEDES-BENZ Clase A,200,,2023,17000,Diésel,Lugo,38900
MERCEDES-BENZ Clase A,250,,2023,5800,Híbrido,Madrid,37990
MERCEDES-BENZ Clase A,250,,2022,10511,Gasolina,Málaga,36900
MERCEDES-BENZ Clase A,421,,2021,34000,Gasolina,Barcelona,62490
MERCEDES-BENZ Clase A,250,,2023,10323,Diésel,Barcelona,45900
MERCEDES-BENZ Clase A,250,,2020,94000,Híbrido Enchufable,Alicante,24900
MERCEDES-BENZ Clase A,200,,2020,79500,Diésel,Madrid,27990
MERCEDES-BENZ Clase A,180,,2020,68000,Diésel,Madrid,24500
MERCEDES-BENZ Clase A,200,,2013,77250,Diésel,La Rioja,16800
MERCEDES-BENZ Clase A,200,,2019,128846,Diésel,Barcelona,24500
MERCEDES-BENZ Clase A,180,,2019,58499,Diésel,Murcia,24950
MERCEDES-BENZ Clase A,180,,2018,110000,Diésel,Badajoz,23800
MERCEDES-BENZ Clase A,250,Sedán,2023,14791,Híbrido,Madrid,34490
MERCEDES-BENZ Clase A,250,Sedán,2023,14791,Híbrido,Madrid,34490
MERCEDES-BENZ Clase A,200,,2021,43500,Gasolina,Madrid,27000
MERCEDES-BENZ Clase A,200,,2022,51000,Diésel,Navarra,28500
MERCEDES-BENZ Clase A,180,Sedán,2020,81000,Diésel,Barcelona,22900
MERCEDES-BENZ Clase A,200,,2013,207000,Diésel,Barcelona,13499
MERCEDES-BENZ Clase A,180,,2022,115070,Diésel,Lugo,24900
MERCEDES-BENZ Clase A,160,,2000,132000,Gasolina,Toledo,3975
MERCEDES-BENZ Clase A,200,,2020,123875,Diésel,Madrid,24990
MERCEDES-BENZ Clase A,200,,2016,189614,Diésel,Sevilla,14499
MERCEDES-BENZ Clase A,200,,2019,135000,Gasolina,Madrid,28990
MERCEDES-BENZ Clase A,200,,2024,2,Diésel,Burgos,41300
